movie_id,set_id,pair_id,label,aggregated_surprise,aggregated_surprise_all,aggregated_surprise_localized,aggregated_surprise_diagnostic_max,aggregated_surprise_diagnostic_mean,aggregated_surprise_old_all_window_max,motion_energy,condition,property,source,num_windows,differentiable_windows,active_tokens_mean,window_surprises,window_surprises_all,window_surprises_localized,diagnostic_window_flags,matched_movie_id,differentiable,not_measurable
2,O1:01,2,possible,0.6129833459854126,0.6129833459854126,0.6129833459854126,0.6129833459854126,0.5913036346435547,0.6129833459854126,0.013869897462427616,O1,O1,intphys-dev,12,5,1024.0,0.612983 0.594500 0.578306 0.587725 0.583004 0.580264 0.572027 0.599780 0.577158 0.576831 0.585041 0.593947,0.612983 0.594500 0.578306 0.587725 0.583004 0.580264 0.572027 0.599780 0.577158 0.576831 0.585041 0.593947,0.612983 0.594500 0.578306 0.587725 0.583004 0.580264 0.572027 0.599780 0.577158 0.576831 0.585041 0.593947,1 1 1 1 1 0 0 0 0 0 0 0,3,True,False
3,O1:01,2,impossible,0.6143321990966797,0.6143321990966797,0.6143321990966797,0.6143321990966797,0.5890202522277832,0.6143321990966797,0.013464564457535744,O1,O1,intphys-dev,12,5,1024.0,0.614332 0.593594 0.578494 0.578904 0.579776 0.587419 0.572027 0.599780 0.577158 0.576831 0.585041 0.593947,0.614332 0.593594 0.578494 0.578904 0.579776 0.587419 0.572027 0.599780 0.577158 0.576831 0.585041 0.593947,0.614332 0.593594 0.578494 0.578904 0.579776 0.587419 0.572027 0.599780 0.577158 0.576831 0.585041 0.593947,1 1 1 1 1 0 0 0 0 0 0 0,2,True,False
4,O1:01,4,possible,0.6143321990966797,0.6143321990966797,0.6143321990966797,0.6143321990966797,0.5890202522277832,0.6143321990966797,0.013007940724492073,O1,O1,intphys-dev,12,5,1024.0,0.614332 0.593594 0.578494 0.578904 0.579776 0.573085 0.571228 0.605028 0.577691 0.577603 0.583863 0.594845,0.614332 0.593594 0.578494 0.578904 0.579776 0.573085 0.571228 0.605028 0.577691 0.577603 0.583863 0.594845,0.614332 0.593594 0.578494 0.578904 0.579776 0.573085 0.571228 0.605028 0.577691 0.577603 0.583863 0.594845,1 1 1 1 1 0 0 0 0 0 0 0,1,True,False
1,O1:01,4,impossible,0.6129833459854126,0.6129833459854126,0.6129833459854126,0.6129833459854126,0.5913036346435547,0.6129833459854126,0.013413350097835064,O1,O1,intphys-dev,12,5,1024.0,0.612983 0.594500 0.578306 0.587725 0.583004 0.572693 0.571228 0.605028 0.577691 0.577603 0.583863 0.594845,0.612983 0.594500 0.578306 0.587725 0.583004 0.572693 0.571228 0.605028 0.577691 0.577603 0.583863 0.594845,0.612983 0.594500 0.578306 0.587725 0.583004 0.572693 0.571228 0.605028 0.577691 0.577603 0.583863 0.594845,1 1 1 1 1 0 0 0 0 0 0 0,4,True,False
1,O1:02,1,possible,0.6133566498756409,0.5804970860481262,0.6133566498756409,0.6133566498756409,0.5831780632336935,0.5804970860481262,0.0024633200373500586,O1,O1,intphys-dev,12,3,512.0,0.558256 0.558256 0.558256 0.572070 0.613357 0.575911 0.560266 0.563132 0.562373 0.555544 0.552768 0.558256,0.558256 0.558256 0.558256 0.572070 0.580497 0.575911 0.567296 0.563132 0.562373 0.555544 0.552768 0.558256,0.558256 0.558256 0.558256 0.572070 0.613357 0.575911 0.560266 0.563132 0.562373 0.555544 0.552768 0.558256,0 0 0 0 1 1 1 0 0 0 0 0,3,True,False
3,O1:02,1,impossible,0.6057568788528442,0.5789127945899963,0.6057568788528442,0.6057568788528442,0.5845056176185608,0.5789127945899963,0.0020811131689697504,O1,O1,intphys-dev,12,3,512.0,0.558256 0.558256 0.558256 0.572070 0.605757 0.572253 0.575507 0.561547 0.562373 0.555544 0.552768 0.558256,0.558256 0.558256 0.558256 0.572070 0.575673 0.572253 0.578913 0.561547 0.562373 0.555544 0.552768 0.558256,0.558256 0.558256 0.558256 0.572070 0.605757 0.572253 0.575507 0.561547 0.562373 0.555544 0.552768 0.558256,0 0 0 0 1 1 1 0 0 0 0 0,1,True,False
4,O1:02,4,possible,0.6218487024307251,0.5850275754928589,0.6218487024307251,0.6218487024307251,0.5910365978876749,0.5850275754928589,0.0014425189001485705,O1,O1,intphys-dev,12,3,512.0,0.558218 0.558218 0.558218 0.557598 0.621849 0.585028 0.566234 0.568160 0.560750 0.555942 0.553675 0.558218,0.558218 0.558218 0.558218 0.557598 0.582537 0.585028 0.574209 0.568160 0.560750 0.555942 0.553675 0.558218,0.558218 0.558218 0.558218 0.557598 0.621849 0.585028 0.566234 0.568160 0.560750 0.555942 0.553675 0.558218,0 0 0 0 1 1 1 0 0 0 0 0,2,True,False
2,O1:02,4,impossible,0.629968523979187,0.5834484100341797,0.629968523979187,0.629968523979187,0.5926279226938883,0.5834484100341797,0.001858794130384922,O1,O1,intphys-dev,12,3,512.0,0.558218 0.558218 0.558218 0.557598 0.629969 0.581884 0.566031 0.561210 0.560750 0.555942 0.553675 0.558218,0.558218 0.558218 0.558218 0.557598 0.583448 0.581884 0.564494 0.561210 0.560750 0.555942 0.553675 0.558218,0.558218 0.558218 0.558218 0.557598 0.629969 0.581884 0.566031 0.561210 0.560750 0.555942 0.553675 0.558218,0 0 0 0 1 1 1 0 0 0 0 0,4,True,False
1,O1:03,1,possible,0.5840713977813721,0.5892691612243652,0.5840713977813721,0.5840713977813721,0.5839432775974274,0.5892691612243652,0.0037888335064053535,O1,O1,intphys-dev,12,2,896.0,0.584071 0.583815 0.581604 0.573060 0.572070 0.575435 0.569273 0.585660 0.571594 0.574227 0.573953 0.577540,0.584071 0.589269 0.581604 0.573060 0.572070 0.575435 0.569273 0.585660 0.571594 0.574227 0.573953 0.577540,0.584071 0.583815 0.581604 0.573060 0.572070 0.575435 0.569273 0.585660 0.571594 0.574227 0.573953 0.577540,1 1 0 0 0 0 0 0 0 0 0 0,2,True,False
2,O1:03,1,impossible,0.5830080509185791,0.5864424705505371,0.5830080509185791,0.5830080509185791,0.5817453563213348,0.5864424705505371,0.0037895345594733953,O1,O1,intphys-dev,12,2,896.0,0.583008 0.580483 0.581239 0.573060 0.572070 0.575435 0.569273 0.585660 0.571594 0.574227 0.573953 0.577540,0.583008 0.586442 0.581239 0.573060 0.572070 0.575435 0.569273 0.585660 0.571594 0.574227 0.573953 0.577540,0.583008 0.580483 0.581239 0.573060 0.572070 0.575435 0.569273 0.585660 0.571594 0.574227 0.573953 0.577540,1 1 0 0 0 0 0 0 0 0 0 0,1,True,False
3,O1:03,3,possible,0.5830080509185791,0.5867244005203247,0.5830080509185791,0.5830080509185791,0.5821428000926971,0.5867244005203247,0.0037911024410277605,O1,O1,intphys-dev,12,2,896.0,0.583008 0.581278 0.581117 0.574362 0.573868 0.574090 0.569585 0.584177 0.571646 0.573266 0.573609 0.581620,0.583008 0.586724 0.581117 0.574362 0.573868 0.574090 0.569585 0.584177 0.571646 0.573266 0.573609 0.581620,0.583008 0.581278 0.581117 0.574362 0.573868 0.574090 0.569585 0.584177 0.571646 0.573266 0.573609 0.581620,1 1 0 0 0 0 0 0 0 0 0 0,4,True,False
4,O1:03,3,impossible,0.5847453474998474,0.589748740196228,0.5847453474998474,0.5847453474998474,0.5844083726406097,0.589748740196228,0.0037903636693954468,O1,O1,intphys-dev,12,2,896.0,0.584071 0.584745 0.580968 0.574362 0.573868 0.574090 0.569585 0.584177 0.571646 0.573266 0.573609 0.581620,0.584071 0.589749 0.580968 0.574362 0.573868 0.574090 0.569585 0.584177 0.571646 0.573266 0.573609 0.581620,0.584071 0.584745 0.580968 0.574362 0.573868 0.574090 0.569585 0.584177 0.571646 0.573266 0.573609 0.581620,1 1 0 0 0 0 0 0 0 0 0 0,3,True,False
1,O1:04,1,possible,0.619540810585022,0.619540810585022,0.619540810585022,0.619540810585022,0.586813360452652,0.619540810585022,0.018362466245889664,O1,O1,intphys-dev,12,6,896.0,0.619541 0.595245 0.573903 0.574642 0.583159 0.574390 0.575105 0.587492 0.576096 0.572098 0.578928 0.595582,0.619541 0.595245 0.573903 0.574642 0.583159 0.582853 0.575105 0.587492 0.576096 0.572098 0.578928 0.595582,0.619541 0.595245 0.573903 0.574642 0.583159 0.574390 0.575105 0.587492 0.576096 0.572098 0.578928 0.595582,1 1 1 1 1 1 0 0 0 0 0 0,2,True,False
2,O1:04,1,impossible,0.6200385689735413,0.6200385093688965,0.6200385689735413,0.6200385689735413,0.5847901701927185,0.6200385093688965,0.018113020807504654,O1,O1,intphys-dev,12,6,896.0,0.620039 0.594546 0.572927 0.568087 0.577379 0.575762 0.574957 0.587492 0.576096 0.572098 0.578928 0.595582,0.620039 0.594546 0.572927 0.568087 0.577379 0.583724 0.574957 0.587492 0.576096 0.572098 0.578928 0.595582,0.620039 0.594546 0.572927 0.568087 0.577379 0.575762 0.574957 0.587492 0.576096 0.572098 0.578928 0.595582,1 1 1 1 1 1 0 0 0 0 0 0,1,True,False
4,O1:04,4,possible,0.6200385689735413,0.6200385093688965,0.6200385689735413,0.6200385689735413,0.5843296448389689,0.6200385093688965,0.01784268207848072,O1,O1,intphys-dev,12,6,896.0,0.620039 0.594546 0.572927 0.568087 0.577379 0.572999 0.576742 0.588241 0.577379 0.572855 0.579318 0.596786,0.620039 0.594546 0.572927 0.568087 0.577379 0.577980 0.576742 0.588241 0.577379 0.572855 0.579318 0.596786,0.620039 0.594546 0.572927 0.568087 0.577379 0.572999 0.576742 0.588241 0.577379 0.572855 0.579318 0.596786,1 1 1 1 1 1 0 0 0 0 0 0,3,True,False
